Sales Record,,,,,,,,,,
,,,,,,,,,,
Order ID,Order Date,Unit Cost,Price,Order Qty,Cost of Sales,ProductKey,Product Sub Category Key,ChannelKey,Promotion Key,CityKey
7077,3/18/2015,76.09496775,304,9,684.8547097,750,9,1,8,26
117,2/22/2014,7.491752798,12.99,4,29.96701119,343,15,1,8,26
7018,1/10/2014,10.12233768,159.99,9,91.10103916,462,14,1,8,26
140,2/13/2016,0.576153263,25.69,18,10.37075874,882,1,1,5,30
491,1/17/2015,108.5087768,304,9,976.5789912,750,9,2,7,15
58,4/5/2016,77.98502883,299,24,1871.640692,1286,4,2,6,15
7085,8/26/2016,154.987254,699,10,1549.87254,1159,12,2,1,15
929,9/15/2014,96.4548497,178,5,482.2742485,269,2,2,1,15
1527,12/29/2014,227.3970926,310,13,2956.162204,1457,19,2,11,15
7264,7/21/2015,158.6528393,299,30,4759.58518,1396,19,2,1,15
1471,2/23/2014,346.6271251,763.51,18,6239.288252,1115,20,2,7,15
845,6/17/2015,192.8419767,588,24,4628.207442,89,9,2,1,15
7144,6/16/2015,50.30309548,95.95,24,1207.274292,338,15,2,1,15
1160,8/22/2014,181.8228396,299.23,10,1818.228396,348,15,2,1,15
619,6/19/2015,144.2994725,299.23,12,1731.59367,347,15,2,1,15
625,7/12/2016,13.04327298,159,20,260.8654596,911,16,2,1,15
523,11/16/2016,79.63851975,199.95,26,2070.601514,1519,18,2,11,15
879,6/7/2016,162.9056774,296,6,977.4340645,1528,18,2,1,15
7409,6/6/2015,153.0782218,296,12,1836.938662,1529,18,2,1,15
1170,9/3/2016,108.2420856,156,20,2164.841712,1511,18,2,1,15
1154,12/7/2015,63.08704151,159.99,26,1640.263079,462,14,2,11,15
1572,1/19/2016,268.4218818,369,9,2415.796936,1257,4,2,7,15
7548,1/29/2015,6.32265692,40.55,18,113.8078246,890,1,2,7,15
7056,9/4/2014,486.2932397,699,10,4862.932397,1602,17,2,1,15
657,9/11/2015,87.93825523,219,20,1758.765105,473,14,2,1,15
7059,12/24/2014,104.5067641,186.9,13,1358.587934,19,8,2,11,15
969,5/13/2015,10.49282353,99.99,12,125.9138824,895,1,2,6,15
7061,2/4/2015,40.24628025,69,36,1448.866089,921,13,2,7,15
7740,8/9/2014,39.82159101,299.9,25,995.5397752,838,11,2,1,15
7605,8/30/2015,2.889431582,186.9,10,28.89431582,17,8,2,1,15
7069,12/18/2013,34.37380511,129,6,206.2428306,1571,13,2,11,15
1755,2/9/2014,63.75475789,67.4,4,255.0190315,1620,1,2,7,15
7119,1/24/2014,0.522103372,343,9,4.698930346,754,9,1,5,30
689,1/29/2015,234.086252,304,12,2809.035024,750,9,1,8,10
7015,11/10/2015,68.03647475,102,8,544.291798,1021,16,1,4,10
7020,3/19/2015,17.42997532,31,12,209.1597038,579,10,1,8,10
698,4/25/2016,241.9087418,304,20,4838.174835,750,9,1,1,30
7043,4/12/2014,183.6928528,269.9,15,2755.392792,1540,7,1,1,4
7080,11/15/2015,359.5164091,627,13,4673.713319,258,9,1,10,2
7052,3/23/2014,23.69617072,26.9,5,118.4808536,388,6,1,1,2
7022,10/17/2016,144.8171693,199.95,13,1882.623201,1520,18,1,10,8
1260,5/24/2014,1.881348939,12.99,5,9.406744693,344,15,2,1,20
7084,4/11/2014,206.3866155,409,10,2063.866155,531,11,2,1,20
7728,8/22/2015,128.7334595,169.99,9,1158.601135,1096,20,2,3,20
416,12/12/2013,152.4262732,310,16,2438.82037,1457,19,2,4,20
273,11/19/2015,39.63631903,77.68,8,317.0905522,333,15,2,4,20
837,6/17/2015,51.04446149,95.95,10,510.4446149,336,15,2,1,20
407,11/22/2016,203.7160035,232,16,3259.456056,304,15,2,4,20
6990,11/22/2016,9.367645808,44,32,299.7646659,1339,6,2,4,20
7339,9/27/2016,125.1350037,232,16,2002.160059,305,15,2,4,20
161,2/2/2015,41.95297425,47.95,24,1006.871382,886,1,2,8,20
7045,11/4/2014,12.93584514,69,8,103.4867611,1128,13,2,4,20
840,10/29/2015,165.8605344,165,8,1326.884275,272,2,2,4,20
7410,8/11/2016,21.74167523,249.99,9,195.6750771,1635,1,2,3,20
7280,12/12/2015,43.48670854,199.95,9,391.3803768,1519,18,1,5,10
7682,8/3/2014,5.100710544,14.52,5,25.50355272,306,15,1,1,22
1472,12/8/2014,33.54722946,1600,13,436.113983,187,2,1,11,22
931,6/11/2015,6.651236879,21.57,12,79.81484255,310,15,4,2,30
680,3/25/2015,13.25229733,21.57,20,265.0459465,307,15,4,1,30
7374,11/26/2016,12.58895676,699,13,163.6564378,1159,12,4,10,30
329,7/23/2015,123.546936,229,12,1482.563232,1027,16,4,2,30
1501,6/5/2015,53.91874622,77.68,12,647.0249546,335,15,4,2,30
7327,11/12/2015,482.4752869,599,13,6272.178729,864,11,4,10,30
6983,9/1/2015,93.62112684,134,24,2246.907044,349,15,4,2,30
7088,8/30/2015,27.11312269,499.9,24,650.7149445,1141,7,4,2,30
890,9/2/2014,278.8407935,499.9,72,20076.53713,1141,7,4,2,30
7109,1/15/2016,78.63610848,326,18,1415.449953,967,12,4,5,30
939,9/15/2015,117.2014532,255,10,1172.014532,322,15,4,1,30
7338,3/14/2015,93.34483525,95.95,20,1866.896705,337,15,4,1,30
1337,12/29/2014,91.97773728,290,9,827.7996355,118,8,4,5,30
7261,7/4/2014,6.237934042,25.69,18,112.2828128,881,1,4,2,30
722,11/21/2014,4.662325784,4.74,120,559.4790941,710,5,4,10,30
7073,1/11/2016,0.079044671,109.99,18,1.422804077,1319,14,4,5,30
995,2/23/2016,85.63653707,115,18,1541.457667,1632,1,4,5,30
1259,4/28/2016,33.59423366,115,10,335.9423366,1633,1,4,1,30
374,9/22/2016,13.95447219,21.57,20,279.0894438,309,15,2,1,2
7101,4/8/2016,529.7102288,1580,30,15891.30686,192,2,2,1,2
1147,12/21/2014,68.84563964,310,9,619.6107568,1457,19,2,5,2
1344,2/2/2015,68.53749817,109.95,9,616.8374835,355,15,2,5,2
7095,7/20/2015,169.9818294,229.9,96,16318.25562,1539,7,2,2,2
1051,11/30/2016,33.15829832,134,13,431.0578782,352,15,2,10,2
7111,12/7/2014,9.437311288,11.5,9,84.9358016,410,6,2,5,2
7221,10/8/2015,252.4239661,326,26,6563.023119,967,12,2,10,2
552,11/26/2015,323.5690868,326,13,4206.398128,967,12,2,10,2
7550,5/29/2014,50.34247337,290,30,1510.274201,118,8,2,1,2
6999,6/20/2015,75.69830335,188,12,908.3796402,265,2,2,2,2
7003,5/16/2014,57.50595119,139,10,575.0595119,726,17,2,1,2
7008,1/19/2016,20.67950403,39.99,18,372.2310726,483,10,2,5,2
7016,10/13/2015,77.34140494,259,52,4021.753057,1280,4,2,10,2
1518,9/19/2014,35.21344421,47.95,10,352.1344421,884,1,2,1,2
61,1/20/2014,101.8589365,269.9,12,1222.307239,1540,7,2,5,2
7057,11/7/2014,126.0605019,219,26,3277.573049,473,14,2,10,2
1588,4/29/2016,57.58531225,149.99,10,575.8531225,898,1,2,1,2
1142,3/16/2016,74.89891042,149.99,20,1497.978208,901,1,2,1,2
7517,3/14/2014,92.91689467,299.9,5,464.5844734,838,11,2,1,2
1707,8/22/2015,49.55953071,109.99,12,594.7143685,1319,14,2,2,2
6995,10/16/2014,35.98476064,190,4,143.9390426,711,17,1,4,10
878,7/11/2015,17.38732085,21.57,12,208.6478503,309,15,1,2,12
7030,9/12/2014,2.417236989,21.57,5,12.08618494,307,15,1,1,29
7036,10/20/2014,141.8744982,369,13,1844.368477,1257,4,1,10,29
6977,6/28/2014,260.0038933,310,20,5200.077865,1417,19,4,1,3
536,4/3/2016,100.8907658,190,24,2421.37838,711,17,4,8,3
347,10/20/2014,122.8126246,149.95,8,982.5009965,1515,18,4,4,3
7482,8/12/2016,43.74148544,156,18,787.3467378,1514,18,4,3,3
7393,7/30/2014,231.3916423,699,9,2082.524781,1602,17,4,3,3
7074,2/20/2016,266.9780192,281,6,1601.868115,30,8,4,8,3
7248,7/29/2015,53.35446719,115,9,480.1902047,1632,1,4,3,3
7443,6/23/2015,283.2016508,310,12,3398.41981,1417,19,1,1,14
7249,8/21/2016,51.79231585,59.99,18,932.2616853,331,15,1,3,5
543,12/4/2014,65.65384215,95.95,8,525.2307372,338,15,1,4,5
7644,5/8/2014,33.9762466,44,5,169.881233,1339,6,1,1,5
729,1/6/2014,7.592818287,308,12,91.11381944,1499,21,1,8,5
7104,1/2/2016,534.6278676,763.51,13,6950.162279,1115,20,1,11,14
6996,3/13/2015,58.01411779,59.99,10,580.1411779,330,15,1,1,30
7078,5/18/2016,57.71963236,75.99,20,1154.392647,1224,6,1,1,3
104,2/29/2016,76.63046961,75.99,18,1379.348453,1224,6,1,7,30
7647,5/23/2016,481.0021325,599,12,5772.02559,864,11,1,6,30
7082,5/12/2014,237.5237647,569,10,2375.237647,867,11,1,1,24
7099,2/9/2015,377.9465287,890,9,3401.518758,154,2,1,5,22
1127,11/24/2015,51.54742308,59,13,670.1165001,1127,13,1,10,22
126,2/6/2014,122.4227704,409,9,1101.804934,531,11,1,5,21
1627,5/29/2014,416.3283622,409,10,4163.283622,531,11,1,1,15
7001,1/9/2014,19.98062057,159,12,239.7674469,911,16,1,8,15
1761,1/5/2014,465.2355022,499.9,36,16748.47808,1141,7,1,8,10
7019,7/27/2014,419.8439915,699,9,3778.595923,1046,17,1,3,10
7106,9/17/2014,76.2009309,169.99,5,381.0046545,1096,20,1,1,19
7580,1/13/2015,84.28694246,139,9,758.5824822,726,17,1,5,30
7337,3/13/2014,46.18642851,169.99,4,184.745714,1096,20,4,7,15
7160,9/10/2014,105.8683075,299.23,10,1058.683075,345,15,4,1,15
313,10/3/2016,227.3305219,599,10,2273.305219,864,11,4,1,15
7023,9/7/2015,10.24837603,11.5,10,102.4837603,410,6,4,1,15
7739,3/4/2015,46.25284091,90,9,416.2755681,1125,13,4,7,15
7000,8/19/2016,134.9283809,248,20,2698.567617,942,16,4,1,15
7002,2/21/2014,137.0038704,422,9,1233.034834,136,2,4,7,15
7007,11/23/2015,54.9782049,129,13,714.7166637,990,13,4,11,15
10,3/14/2016,95.05342308,99,18,1710.961615,1182,13,4,7,15
7055,9/30/2014,139.7597582,219,10,1397.597582,475,14,4,1,15
1616,12/7/2014,11.69254545,77.68,9,105.232909,334,15,1,5,30
7469,5/25/2016,131.1911661,169.99,20,2623.823321,1096,20,3,1,2
7096,9/7/2016,302.5433836,299,10,3025.433836,1286,4,3,1,2
7089,12/3/2015,47.65391317,200,39,1858.502614,65,8,3,10,2
7079,10/5/2016,143.7006569,599,13,1868.108539,864,11,3,10,2
7087,7/17/2016,553.1693462,869,6,3319.016077,1199,13,3,2,2
7097,7/1/2016,126.7608801,184.5,12,1521.130561,38,8,3,2,2
133,10/7/2015,90.63662106,134,13,1178.276074,351,15,3,10,2
1611,10/2/2014,10.49649255,11.5,5,52.48246273,410,6,3,1,2
539,6/19/2016,118.522837,255,12,1422.274044,324,15,3,2,2
7118,9/3/2015,153.3405062,326,24,3680.172149,1176,12,3,2,2
7122,3/9/2016,555.7264232,1600,10,5557.264232,187,2,3,1,2
6993,2/24/2014,12.67885912,26.99,18,228.2194641,584,10,3,5,2
6994,12/23/2014,18.20760025,90,9,163.8684023,1125,13,3,5,2
7004,4/18/2014,24.36120893,35.99,40,974.4483573,327,10,3,1,2
7423,2/6/2016,6.705211037,16.99,18,120.6937987,317,10,3,5,2
941,2/3/2015,6.763402323,41.73,18,121.7412418,1342,6,3,5,2
7048,8/30/2015,103.3018986,196.9,24,2479.245565,117,8,3,2,2
930,4/3/2015,64.53851232,69,10,645.3851232,921,13,3,1,2
7062,2/9/2016,12.31525573,13.89,36,443.3492062,454,14,3,5,2
510,9/30/2016,104.9366189,129,40,4197.464755,1571,13,3,1,2
7561,4/21/2014,11.63109195,169.99,5,58.15545976,1096,20,1,1,23
78,10/15/2015,109.2053181,699,8,873.6425447,1602,17,1,4,23
392,8/18/2014,38.66423779,56.9,4,154.6569511,1244,22,1,3,23
946,1/25/2014,14.65472147,16.99,4,58.61888589,317,10,1,7,22
153,6/20/2015,98.61595533,219,12,1183.391464,475,14,1,1,28
581,10/15/2014,422.0840844,699,13,5487.093098,1159,12,1,10,12
1356,11/21/2016,18.3506463,40.55,26,477.1168039,889,1,1,11,15
1042,7/15/2016,273.4972903,699,12,3281.967484,1159,12,1,2,2
